movie_title;release_date;genre
Another Stakeout;1993-07-23;Comedy
My Boyfriend's Back;1993-08-06;
Father Hood;1993-08-27;
The Joy Luck Club;1993-09-08;Drama
Money for Nothing;1993-09-10;Comedy
The Program;1993-09-24;Action
Cool Runnings;1993-10-01;Comedy
The Nightmare Before Christmas;1993-10-13;Musical
The Three Musketeers;1993-11-12;Adventure
Sister Act 2 Back in the Habit;1993-12-10;Comedy
Tombstone;1993-12-25;Western
The Air Up There;1994-01-07;Comedy
Cabin Boy;1994-01-07;Comedy
Iron Will;1994-01-14;Drama
Red Rock West;1994-01-28;
Blank Check;1994-02-11;Comedy
Angie;1994-03-04;Comedy
The Ref;1994-03-09;Comedy
D2: The Mighty Ducks;1994-03-25;Comedy
Holy Matrimony;1994-04-08;Comedy
White Fang 2: Myth of the White Wolf;1994-04-15;Adventure
The Inkwell;1994-04-22;Comedy
When a Man Loves a Woman;1994-04-29;Drama
3 Ninjas Kick Back;1994-05-06;Action
Renaissance Man;1994-06-03;Comedy
The Lion King;1994-06-15;Adventure
I Love Trouble;1994-06-29;Romantic Comedy
Angels in the Outfield;1994-07-15;Comedy
In the Army Now;1994-08-12;Comedy
Color of Night;1994-08-19;Thriller/Suspense
Camp Nowhere;1994-08-26;Comedy
It's Pat;1994-08-26;Comedy
A Simple Twist of Fate;1994-09-02;Drama
Quiz Show;1994-09-14;Drama
Terminal Velocity;1994-09-23;Action
Ed Wood;1994-09-30;Comedy
The Puppet Masters;1994-10-21;Horror
Squanto: A Warrior's Tale;1994-10-28;Drama
The Santa Clause;1994-11-11;Comedy
A Low Down Dirty Shame;1994-11-23;Action
The Jungle Book;1994-12-25;Adventure
Houseguest;1995-01-06;Comedy
Bad Company;1995-01-20;Thriller/Suspense
Miami Rhapsody;1995-01-27;Romantic Comedy
The Jerky Boys;1995-02-03;Comedy
Heavy Weights;1995-02-17;Comedy
Man of the House;1995-03-03;Comedy
Roommates;1995-03-03;Comedy
Tall Tale;1995-03-24;Western
A Pyromaniac's Love Story;1995-03-28;Romantic Comedy
Jefferson in Paris;1995-03-31;Drama
Funny Bones;1995-03-31;Comedy
A Goofy Movie;1995-04-07;Comedy
While You Were Sleeping;1995-04-21;Romantic Comedy
Crimson Tide;1995-05-12;Action
Mad Love;1995-05-26;Drama
Pocahontas;1995-06-10;Adventure
Judge Dredd;1995-06-30;Action
Operation Dumbo Drop;1995-07-28;Adventure
Dangerous Minds;1995-08-11;Drama
A Kid in King Arthur's Court;1995-08-11;Adventure
The Tie That Binds;1995-09-08;Thriller/Suspense
Unstrung Heroes;1995-09-15;Drama
The Big Green;1995-09-29;Comedy
Dead Presidents;1995-10-04;Drama
The Scarlet Letter;1995-10-13;Drama
Feast of July;1995-10-13;Drama
Powder;1995-10-27;Drama
Toy Story;1995-11-22;Adventure
Father of the Bride Part II;1995-12-08;Comedy
Nixon;1995-12-20;Drama
Tom and Huck;1995-12-22;Adventure
Mr. Holland's Opus;1995-12-29;Drama
White Squall;1996-02-02;Adventure
Muppet Treasure Island;1996-02-16;Adventure
Mr. Wrong;1996-02-16;Romantic Comedy
Before and After;1996-02-23;Drama
Up Close & Personal;1996-03-01;Drama
Homeward Bound II: Lost in San Franc…;1996-03-08;Adventure
Two Much;1996-03-15;Romantic Comedy
Un indien dans la ville;1996-03-22;Comedy
James and the Giant Peach;1996-04-12;Adventure
Celtic Pride;1996-04-19;Comedy
Last Dance;1996-05-03;Drama
Boys;1996-05-10;Drama
Spy Hard;1996-05-24;Comedy
Eddie;1996-05-31;Comedy
The Rock;1996-06-07;Action
The Hunchback of Notre Dame;1996-06-21;Adventure
Phenomenon;1996-07-05;Drama
Kazaam;1996-07-17;Comedy
Jack;1996-08-09;Drama
First Kid;1996-08-30;Comedy
The Rich Man's Wife;1996-09-13;Thriller/Suspense
D3: The Mighty Ducks;1996-10-04;Comedy
The Associate;1996-10-25;Comedy
Ransom;1996-11-08;Action
The War at Home;1996-11-20;
101 Dalmatians;1996-11-27;Comedy
The Preacher's Wife;1996-12-13;Drama
Evita;1996-12-25;Musical
Metro;1997-01-17;Action
Prefontaine;1997-01-24;Drama
Shadow Conspiracy;1997-01-31;Thriller/Suspense
That Darn Cat;1997-02-14;Comedy
Jungle 2 Jungle;1997-03-07;Comedy
The Sixth Man;1997-03-28;Comedy
Grosse Pointe Blank;1997-04-11;Black Comedy
Romy and Michele's High School Reunion;1997-04-25;Comedy
Gone Fishin';1997-05-30;Comedy
Con Air;1997-06-06;Action
Hercules;1997-06-13;Adventure
George Of The Jungle;1997-07-16;Comedy
Nothing To Lose;1997-07-18;Comedy
Air Bud;1997-08-01;Comedy
G.I. Jane;1997-08-22;Drama
A Thousand Acres;1997-09-19;Drama
Washington Square;1997-10-05;Drama
Rocket Man;1997-10-10;Comedy
Playing God;1997-10-17;Thriller/Suspense
Flubber;1997-11-26;Comedy
An American Werewolf in Paris;1997-12-25;Horror
Mr. Magoo;1997-12-25;Comedy
Kundun;1997-12-25;Drama
Deep Rising;1998-01-30;Action
Krippendorf's Tribe;1998-02-27;Comedy
An Alan Smithee Film: Burn Hollywood …;1998-02-27;Comedy
Meet the Deedles;1998-03-27;Comedy
He Got Game;1998-05-01;Drama
The Horse Whisperer;1998-05-15;Drama
Six Days, Seven Nights;1998-06-12;Romantic Comedy
Mulan;1998-06-19;Adventure
Armageddon;1998-07-01;Adventure
Jane Austen's Mafia;1998-07-24;Comedy
The Parent Trap;1998-07-29;Comedy
Firelight;1998-09-04;Drama
Simon Birch;1998-09-11;Drama
Holy Man;1998-10-09;Comedy
Beloved;1998-10-16;Drama
The Waterboy;1998-11-06;Comedy
I'll Be Home For Christmas;1998-11-13;Comedy
A Bug's Life;1998-11-20;Adventure
Enemy of the State;1998-11-20;Action
Rushmore;1998-12-11;Black Comedy
A Civil Action;1998-12-25;Drama
Mighty Joe Young;1998-12-25;Adventure
My Favorite Martian;1999-02-12;Comedy
The Other Sister;1999-02-26;Romantic Comedy
Doug's 1st Movie;1999-03-26;Adventure
Ten Things I Hate About You;1999-03-31;Romantic Comedy
Endurance;1999-05-14;
Instinct;1999-06-04;Drama
Tarzan;1999-06-16;Adventure
Summer of Sam;1999-07-02;Drama
Inspector Gadget;1999-07-23;Comedy
The Sixth Sense;1999-08-06;Thriller/Suspense
The 13th Warrior;1999-08-27;Action
Breakfast of Champions;1999-09-17;Comedy
Mumford;1999-09-24;Comedy
Mystery, Alaska;1999-10-01;Comedy
The Straight Story;1999-10-15;Drama
The Insider;1999-11-05;Drama
Toy Story 2;1999-11-19;Adventure
Cradle Will Rock;1999-12-08;Drama
Deuce Bigalow: Male Gigolo;1999-12-10;Comedy
Bicentennial Man;1999-12-17;Drama
Play it to the Bone;1999-12-24;Comedy
Fantasia 2000 (IMAX);2000-01-01;Musical
Gun Shy;2000-02-04;Comedy
The Tigger Movie;2000-02-11;Adventure
Mission to Mars;2000-03-10;Adventure
High Fidelity;2000-03-31;Comedy
Keeping the Faith;2000-04-14;Romantic Comedy
Dinosaur;2000-05-19;Adventure
Shanghai Noon;2000-05-26;Western
Gone in 60 Seconds;2000-06-09;Action
Fantasia 2000 (Theatrical Release);2000-06-16;Musical
The Kid;2000-07-07;Comedy
Coyote Ugly;2000-08-04;Drama
The Crew;2000-08-25;Comedy
Duets;2000-09-15;Drama
Remember the Titans;2000-09-29;Drama
Unbreakable;2000-11-22;Thriller/Suspense
102 Dalmatians;2000-11-22;Comedy
The Emperor's New Groove;2000-12-15;Adventure
O Brother, Where Art Thou?;2000-12-22;Comedy
Double Take;2001-01-12;Action
Recess: School's Out;2001-02-16;Comedy
Just Visiting;2001-04-06;Comedy
Pearl Harbor;2001-05-25;Action
Atlantis: The Lost Empire;2001-06-08;Adventure
crazy/beautiful;2001-06-29;Drama
The Princess Diaries;2001-08-03;Comedy
Bubble Boy;2001-08-24;Comedy
Max Keeble's Big Move;2001-10-05;Comedy
Corky Romano;2001-10-12;Comedy
High Heels and Low Lifes;2001-10-26;
Monsters, Inc.;2001-11-02;Adventure
Out Cold;2001-11-21;Comedy
The Royal Tenenbaums;2001-12-14;Black Comedy
Beauty and the Beast (IMAX);2002-01-01;Musical
Frank McKlusky C.I.;2002-01-01;
Snow Dogs;2002-01-18;Comedy
The Count of Monte Cristo;2002-01-25;Drama
Peter Pan: Return to Neverland;2002-02-15;Adventure
Reign of Fire;2002-02-19;Action
Sorority Boys;2002-03-22;Comedy
The Rookie;2002-03-29;Drama
Big Trouble;2002-04-05;Comedy
ESPN's Ultimate X - The Movie;2002-05-10;Documentary
Bad Company;2002-06-07;Action
Lilo & Stitch;2002-06-21;Adventure
The Country Bears;2002-07-26;Adventure
Signs;2002-08-02;Thriller/Suspense
Sen to Chihiro no Kamikakushi;2002-09-20;Adventure
Sweet Home Alabama;2002-09-27;Comedy
Moonlight Mile;2002-09-27;Drama
Tuck Everlasting;2002-10-11;Drama
The Santa Clause 2;2002-11-01;Comedy
Treasure Planet;2002-11-27;Adventure
The Hot Chick;2002-12-13;Comedy
25th Hour;2002-12-19;Drama
The Recruit;2003-01-31;Thriller/Suspense
Shanghai Knights;2003-02-07;Adventure
The Jungle Book 2;2003-02-14;Adventure
Bringing Down the House;2003-03-07;Comedy
Piglet's Big Movie;2003-03-21;Comedy
Ghosts of the Abyss;2003-04-11;Documentary
Holes;2003-04-18;Drama
The Lizzie McGuire Movie;2003-05-02;Comedy
Finding Nemo;2003-05-30;Adventure
Pirates of the Caribbean: The Curse o…;2003-07-09;Adventure
Freaky Friday;2003-08-06;Comedy
Open Range;2003-08-15;Western
Cold Creek Manor;2003-09-19;Thriller/Suspense
Under the Tuscan Sun;2003-09-26;Comedy
Veronica Guerin;2003-10-17;Drama
Brother Bear;2003-10-24;Adventure
The Haunted Mansion;2003-11-26;Comedy
Calendar Girls;2003-12-19;Comedy
Young Black Stallion;2003-12-25;Adventure
Teacher's Pet: The Movie;2004-01-16;Comedy
Miracle;2004-02-06;Drama
Confessions of a Teenage Drama Queen;2004-02-20;Comedy
Hidalgo;2004-03-05;Western
The Ladykillers;2004-03-26;Comedy
Home on the Range;2004-04-02;Comedy
The Alamo;2004-04-09;Western
Raising Helen;2004-05-28;Comedy
Around the World in 80 Days;2004-06-16;Adventure
America's Heart and Soul;2004-07-02;Documentary
King Arthur;2004-07-07;Adventure
The Village;2004-07-30;Thriller/Suspense
The Princess Diaries 2: Royal Engagement;2004-08-11;Romantic Comedy
Mr. 3000;2004-09-17;Comedy
The Last Shot;2004-09-24;Comedy
Ladder 49;2004-10-01;Action
The Incredibles;2004-11-05;Adventure
National Treasure;2004-11-19;Adventure
The Life Aquatic with Steve Zissou;2004-12-10;Comedy
Aliens of the Deep;2005-01-28;Documentary
